词:的 人	词频:923
词:对 他	词频:54
词:的 一切	词频:54
词:有 了	词频:54
词:的 一部分	词频:54
词:被 认为	词频:54
词:父母 的	词频:54
词:时代 的	词频:53
词:产生 的	词频:53
词:在 他们	词频:53
词:的 父母	词频:53
词:的 冲动	词频:53
词:的 危险	词频:53
词:使 他们	词频:52
词:有 可能	词频:52
词:成 了	词频:52
词:儿童 的	词频:52
词:妇女 的	词频:52
词:会 发现	词频:51
词:的 满足	词频:51
词:的 情绪	词频:51
词:国家 的	词频:51
词:不 应该	词频:51
词:的 情形	词频:51
词:家庭 的	词频:51
词:的 形式	词频:50
词:就 不	词频:50
词:的 乐趣	词频:50
词:问题 的	词频:50
词:得 多	词频:50
词:本能 的	词频:50
词:如果 我们	词频:50
词:她们 的	词频:50
词:文明 的	词频:50
词:的 事实	词频:50
词:的 自由	词频:50
词:社会 的	词频:50
词:的 那些	词频:49
词:也 就	词频:49
词:的 制度	词频:48
词:的 事物	词频:48
词:可能 会	词频:48
词:他 在	词频:48
词:别人 的	词频:48
词:而 在	词频:48
词:在 我们	词频:47
词:最好 的	词频:47
词:所有 这些	词频:47
词:一定 的	词频:47
词:的 时代	词频:47
词:而 不	词频:47
词:的 力量	词频:47
词:有 什么	词频:46
词:的 不幸	词频:46
词:充分 的	词频:46
词:这种 观点	词频:46
词:的 价值	词频:46
词:之间 的	词频:46
词:的 办法	词频:46
词:工作 的	词频:46
词:的 时间	词频:46
词:道德 的	词频:46
词:形式 的	词频:45
词:了 他	词频:45
词:是 如此	词频:45
词:这 是	词频:45
词:我们 就	词频:45
词:的 最	词频:45
词:很 难	词频:45
词:他 自己	词频:45
词:巨大 的	词频:44
词:是 个	词频:44
词:发生 的	词频:44
词:应该 是	词频:44
词:的 欲望	词频:44
词:对 他们	词频:44
词:的 信念	词频:44
词:存在 着	词频:44
词:在 美国	词频:44
词:也 没有	词频:44
词:自然 的	词频:44
词:的 利益	词频:43
词:因为 它	词频:43
词:是 由	词频:43
词:把 它	词频:43
词:很 可能	词频:43
词:另 一种	词频:43
词:不 知道	词频:43
词:就 可以	词频:43
词:过 的	词频:42
词:母亲 的	词频:42
词:把 自己	词频:42
词:的 因素	词频:42
词:当 他	词频:42
词:的 看法	词频:42
词:可能 是	词频:42
词:世界 上	词频:42
词:的 和	词频:42
词:但 我	词频:42
词:的 主要	词频:42
词:的 父亲	词频:42
词:恐惧 的	词频:42
词:失去 了	词频:41
词:痛苦 的	词频:41
词:许多 人	词频:41
词:的 观念	词频:41
词:在 一个	词频:41
词:能 使	词频:41
词:的 权力	词频:41
词:婚姻 的	词频:41
词:的 程度	词频:40
词:这个 世界	词频:40
词:也许 会	词频:40
词:和 他	词频:40
词:爱情 的	词频:40
词:每 一个	词频:40
词:普遍 的	词频:40
词:尤其 是	词频:40
词:现在 的	词频:40
词:我 相信	词频:39
词:他 是	词频:39
词:爱 的	词频:39
词:他 也	词频:39
词:人 在	词频:39
词:每个 人	词频:39
词:的 信仰	词频:39
词:去 做	词频:39
词:的 需要	词频:39
词:另 一个	词频:39
词:大多数 人	词频:38
词:的 成功	词频:38
词:成功 的	词频:38
词:人 是	词频:38
词:因为 他	词频:38
词:了 他们	词频:38
词:他们 自己	词频:38
词:了 一种	词频:38
词:得到 的	词频:38
词:很大 的	词频:38
词:带来 的	词频:37
词:程度 上	词频:37
词:的 任何	词频:37
词:对 那些	词频:37
词:生命 的	词频:37
词:的 目标	词频:37
词:邪恶 的	词频:37
词:一切 的	词频:37
词:他们 在	词频:37
词:的 这种	词频:37
词:情感 的	词频:37
词:我们 可以	词频:37
词:有害 的	词频:37
词:人 所	词频:37
词:的 意见	词频:37
词:产生 了	词频:37
词:要 想	词频:37
词:的 感觉	词频:37
词:强烈 的	词频:37
词:基督教 的	词频:37
词:的 婚姻	词频:37
词:传统 的	词频:37
词:自由 的	词频:37
词:上 是	词频:36
词:的 唯一	词频:36
词:的 自我	词频:36
词:危险 的	词频:36
词:价值 的	词频:36
词:一个 孩子	词频:36
词:的 地位	词频:36
词:道德 上	词频:36
词:正当 的	词频:36
词:的 母亲	词频:36
词:我 将	词频:36
词:获得 的	词频:35
词:事物 的	词频:35
词:他 对	词频:35
词:是 他	词频:35
词:会 使	词频:35
词:看作 是	词频:35
词:出来 的	词频:35
词:在 这个	词频:35
词:大 的	词频:35
词:有 一个	词频:35
词:的 生命	词频:35
词:厌烦 的	词频:35
词:那 是	词频:35
词:但 如果	词频:35
词:你 就	词频:34
词:是 为了	词频:34
词:错误 的	词频:34
词:引起 的	词频:34
词:这 就是	词频:34
词:心理 上	词频:34
词:的 了	词频:34
词:我们 必须	词频:34
词:是 没有	词频:34
词:就 不会	词频:34
词:也 不能	词频:34
词:科学 的	词频:34
词:可怕 的	词频:34
词:的 性	词频:34
词:就 能	词频:34
词:结果 是	词频:34
词:就 不能	词频:34
词:的 机会	词频:34
词:社会 中	词频:34
词:这 就	词频:34
词:不过 是	词频:33
词:的 能力	词频:33
词:则 是	词频:33
词:它 就	词频:33
词:有关 的	词频:33
词:的 重要性	词频:33
词:是 不会	词频:33
词:也 不会	词频:33
词:的 发展	词频:33
词:存在 的	词频:33
词:这样 做	词频:33
词:的 职业	词频:33
词:不 需要	词频:33
词:相反 的	词频:33
词:就 应该	词频:32
词:的 女人	词频:32
词:意义 上	词频:32
词:但 他	词频:32
词:的 不	词频:32
词:他们 对	词频:32
词:有 一些	词频:32
词:让 他	词频:32
词:的 环境	词频:32
词:给 他	词频:32
词:的 女子	词频:32
词:存在 于	词频:32
词:在 现代	词频:32
词:行为 的	词频:32
词:在 一起	词频:32
词:的 法律	词频:32
词:这种 情形	词频:32
词:的 感情	词频:32
词:对 孩子	词频:32
词:但是 如果	词频:31
词:社会 里	词频:31
词:会 有	词频:31
词:如果 一个	词频:31
词:也许 是	词频:31
词:伟大 的	词频:31
词:有 许多	词频:31
词:聪明 的	词频:31
词:但是 在	词频:31
词:了 一个	词频:31
词:也 能	词频:31
词:美国 的	词频:31
词:的 理想	词频:31
词:的 特征	词频:31
词:简单 的	词频:31
词:而 又	词频:31
词:有用 的	词频:31
词:的 性关系	词频:31
词:他们 认为	词频:31
词:使 自己	词频:30
词:得到 了	词频:30
词:知识 的	词频:30
词:者 的	词频:30
词:的 手段	词频:30
词:对 的	词频:30
词:就 必须	词频:30
词:在 这方面	词频:30
词:的 优点	词频:30
词:所说 的	词频:30
词:的 男子	词频:30
词:的 人口	词频:30
词:子女 的	词频:30
词:的 朋友	词频:29
词:而 这	词频:29
词:人 对	词频:29
词:式 的	词频:29
词:的 热情	词频:29
词:所 做	词频:29
词:就 没有	词频:29
词:这种 态度	词频:29
词:完全 是	词频:29
词:不 相信	词频:29
词:但是 我	词频:29
词:的 基础	词频:29
词:一定 会	词频:29
词:充满 了	词频:29
词:在 孩子	词频:29
词:发展 的	词频:29
词:妻子 的	词频:29
词:都 在	词频:28
词:里 的	词频:28
词:的 根源	词频:28
词:说 的	词频:28
词:自我 的	词频:28
词:了 自己	词频:28
词:那样 的	词频:28
词:即使 在	词频:28
词:他 说	词频:28
词:现代 世界	词频:28
词:的 理论	词频:28
词:认为 自己	词频:28
词:我 是	词频:28
词:道德家 们	词频:28
词:的 勇气	词频:28
词:是 完全	词频:28
词:就 有	词频:28
词:有益 的	词频:28
词:是 有	词频:28
词:了 这	词频:28
词:大多数 的	词频:28
词:关系 的	词频:28
词:会 产生	词频:28
词:他人 的	词频:28
词:我们 都	词频:28
词:人口 的	词频:28
词:儿女 的	词频:28
词:是 幸福	词频:27
词:的 各种	词频:27
词:美好 的	词频:27
词:不好 的	词频:27
词:明显 的	词频:27
词:才 会	词频:27
词:也 可以	词频:27
词:了 的	词频:27
词:满足 的	词频:27
词:是 这样	词频:27
词:仅仅 是	词频:27
词:的 存在	词频:27
词:不会 有	词频:27
词:愉快 的	词频:27
词:任何 一个	词频:27
词:罪恶 的	词频:27
词:似乎 是	词频:27
词:他们 是	词频:27
词:有些 人	词频:27
词:我们 对	词频:27
词:实在 是	词频:27
词:的 儿童	词频:27
词:有 必要	词频:27
词:一点 上	词频:27
词:严重 的	词频:27
词:困难 的	词频:27
词:到 的	词频:27
词:很 重要	词频:27
词:的 惩罚	词频:27
词:的 文明	词频:27
词:人们 对	词频:27
词:最 重要	词频:27
词:的 权利	词频:27
词:都 知道	词频:27
词:不管 是	词频:26
词:极大 的	词频:26
词:学会 了	词频:26
词:的 个人	词频:26
词:这种 人	词频:26
词:为 之	词频:26
词:克鲁奇 先生	词频:26
词:的 儿子	词频:26
词:不 愿意	词频:26
词:了 许多	词频:26
词:了 这种	词频:26
词:意识 到	词频:26
词:是 他们	词频:26
词:是 非常	词频:26
词:我 也	词频:26
词:有 这种	词频:26
词:高尚 的	词频:26
词:的 子女	词频:26
词:是 最	词频:26
词:工作 中	词频:26
词:经济 上	词频:26
词:忌妒 的	词频:26
词:他们 会	词频:26
词:他 不	词频:26
词:我们 不能	词频:26
词:到 了	词频:26
词:经济 的	词频:26
词:你 会	词频:25
词:如果 他们	词频:25
词:的 厌烦	词频:25
词:不 幸福	词频:25
词:其中 的	词频:25
词:心理 分析	词频:25
词:普通 的	词频:25
词:与 他	词频:25
词:他 所	词频:25
词:受到 了	词频:25
词:的 追求	词频:25
词:的 限制	词频:25
词:对 我们	词频:25
词:必不可少 的	词频:25
词:坏 的	词频:25
词:死亡 的	词频:25
词:是 什么	词频:25
词:的 意义	词频:25
词:是 我们	词频:25
词:的 源泉	词频:25
词:具有 的	词频:25
词:是 必要	词频:25
词:现代 的	词频:25
词:的 意思	词频:25
词:在 英国	词频:25
词:造成 的	词频:25
词:愚蠢 的	词频:25
词:希望 的	词频:25
词:严厉 的	词频:25
词:都 要	词频:25
词:那 就是	词频:25
词:和 孩子	词频:25
词:妇女 们	词频:25
词:让 我们	词频:24
词:这 在	词频:24
词:而 对	词频:24
词:对于 那些	词频:24
词:唯一 的	词频:24
词:与 自己	词频:24
词:对 这	词频:24
词:是 可以	词频:24
词:接受 的	词频:24
词:感到 自己	词频:24
词:一样 的	词频:24
词:美国 人	词频:24
词:没有 一个	词频:24
词:人生 的	词频:24
词:这 也	词频:24
词:的 全部	词频:24
词:的 罪恶	词频:24
词:都 应该	词频:24
词:但 却	词频:24
词:高 的	词频:24
词:的 传统	词频:24
词:是 那些	词频:24
词:它们 的	词频:24
词:的 状况	词频:24
词:明智 的	词频:24
词:是 不能	词频:24
词:使 我们	词频:24
词:的 疲劳	词频:24
词:这种 方法	词频:24
词:的 重要	词频:24
词:深刻 的	词频:24
词:当 一个	词频:24
词:的 希望	词频:24
词:的 宗教	词频:24
词:法律 的	词频:24
词:良好 的	词频:24
词:他们 有	词频:23
词:只要 他	词频:23
词:但 这	词频:23
词:一切 都	词频:23
词:在 许多	词频:23
词:目的 的	词频:23
词:从来 没有	词频:23
词:把 他	词频:23
词:告诉 他	词频:23
词:会 感到	词频:23
词:精神 的	词频:23
词:这是 一种	词频:23
词:他 有	词频:23
词:会 说	词频:23
词:他 认为	词频:23
词:也 不是	词频:23
词:在 这些	词频:23
词:常见 的	词频:23
词:但 它	词频:23
词:大量 的	词频:23
词:都 能	词频:23
词:的 政治	词频:23
词:其他 的	词频:23
词:事情 的	词频:23
词:的 要求	词频:23
词:必需 的	词频:23
词:奇怪 的	词频:23
词:特殊 的	词频:23
词:的 学说	词频:23
词:很 好	词频:23
词:离婚 的	词频:23
词:战争 的	词频:22
词:自身 的	词频:22
词:足够 的	词频:22
词:其 结果	词频:22
词:我 所	词频:22
词:都 不	词频:22
词:的 伦理	词频:22
词:的 真正	词频:22
词:理想 的	词频:22
词:自己 是	词频:22
词:多 了	词频:22
词:的 结论	词频:22
词:这 并	词频:22
词:那 就	词频:22
词:所谓 的	词频:22
词:维多利亚 时代	词频:22
词:但 他们	词频:22
词:它 能	词频:22
词:所 需要	词频:22
词:世纪 的	词频:22
词:艺术 的	词频:22
词:说 过	词频:22
词:的 印象	词频:22
词:这些 人	词频:22
词:兴奋 的	词频:22
词:的 欢乐	词频:22
词:在 那些	词频:22
词:他们 也	词频:22
词:相同 的	词频:22
词:主要 是	词频:22
词:在 我	词频:22
词:是 正确	词频:22
词:不 存在	词频:22
词:在 教育	词频:22
词:当然 是	词频:22
词:真实 的	词频:22
词:现代 社会	词频:22
词:就 很	词频:22
词:中国 人	词频:22
词:的 经济	词频:22
词:是 好	词频:22
词:使 人们	词频:22
词:非常 重要	词频:21
词:一般 的	词频:21
词:这 世界	词频:21
词:向 他	词频:21
词:正常 的	词频:21
词:的 男人	词频:21
词:达到 了	词频:21
词:权力 的	词频:21
词:获得 了	词频:21
词:一些 人	词频:21
词:他 发现	词频:21
词:某 一	词频:21
词:我 在	词频:21
词:的 位置	词频:21
词:这种 情感	词频:21
词:却 不	词频:21
词:假如 我们	词频:21
词:的 新	词频:21
词:的 劳动	词频:21
词:可以 通过	词频:21
词:适用 于	词频:21
词:宗教 的	词频:21
词:还 没有	词频:21
词:的 时期	词频:21
词:在 一定	词频:21
词:的 作品	词频:21
词:以前 的	词频:21
词:疲劳 的	词频:21
词:的 变化	词频:21
词:上 说	词频:21
词:以后 的	词频:21
词:的 一些	词频:21
词:不是 说	词频:21
词:生活 方式	词频:21
词:做到 的	词频:21
词:很 明显	词频:21
词:的 最好	词频:21
词:在 自己	词频:21
词:在 其	词频:21
词:的 范围	词频:21
词:产生 一种	词频:21
词:会 在	词频:21
词:政府 的	词频:21
词:中 获得	词频:21
词:的 精神	词频:21
词:表现 出	词频:21
词:健康 的	词频:21
词:的 缘故	词频:21
词:英国 的	词频:21
词:我们 在	词频:21
词:人 也	词频:20
词:在 大多数	词频:20
词:人人 都	词频:20
词:热情 的	词频:20
词:只有 在	词频:20
词:的 道路	词频:20
词:那么 他	词频:20
词:他 感到	词频:20
词:会 发生	词频:20
词:的 对象	词频:20
词:希望 自己	词频:20
词:的 头脑	词频:20
词:消极 的	词频:20
词:过 了	词频:20
词:的 事业	词频:20
词:因此 而	词频:20
词:间 的	词频:20
词:的 美国	词频:20
词:了 它	词频:20
词:着 一种	词频:20
词:是 一件	词频:20
词:这些 都	词频:20
词:的 努力	词频:20
词:就 我	词频:20
词:的 后果	词频:20
词:的 道德家	词频:20
词:的 丈夫	词频:20
词:的 自然	词频:20
词:因为 在	词频:20
词:的 而	词频:20
词:生活 在	词频:20
词:的 性交	词频:20
词:相当 的	词频:20
词:的 角度	词频:20
词:一定 要	词频:20
词:积极 的	词频:20
词:他们 都	词频:20
词:人 应该	词频:20
词:态度 的	词频:20
词:社会 上	词频:20
词:而 被	词频:20
词:这件 事	词频:20
词:有 价值	词频:20
词:的 经验	词频:20
词:的 健康	词频:20
词:让 孩子	词频:20
词:应该 有	词频:20
词:它 在	词频:20
词:法律 上	词频:20
词:国家 里	词频:19
词:遭受 的	词频:19
词:外 在	词频:19
词:其它 的	词频:19
词:把 这种	词频:19
词:上帝 的	词频:19
词:特别 是	词频:19
词:只不过 是	词频:19
词:健全 的	词频:19
词:没有 人	词频:19
词:给 人	词频:19
词:世界 中	词频:19
词:今天 的	词频:19
词:这样 一种	词频:19
词:得到 满足	词频:19
词:的 年轻人	词频:19
词:的 例子	词频:19
词:因为 这	词频:19
词:过去 的	词频:19
词:爱情 是	词频:19
词:的 最大	词频:19
词:的 意志	词频:19
词:最大 的	词频:19
词:的 竞争	词频:19
词:在 欧洲	词频:19
词:的 钱	词频:19
词:一定 是	词频:19
词:起来 的	词频:19
词:方法 的	词频:19
词:才 是	词频:19
词:可以 在	词频:19
词:有 两种	词频:19
词:我 就	词频:19
词:问题 是	词频:19
词:在 任何	词频:19
词:重大 的	词频:19
词:的确 是	词频:19
词:要 比	词频:19
词:做 了	词频:19
词:更 有	词频:19
词:也 要	词频:19
词:表现 出来	词频:19
词:的 真理	词频:19
词:肉体 的	词频:19
词:生产 的	词频:19
词:制度 的	词频:19
词:使 孩子	词频:19
词:的 概念	词频:19
词:我们 所	词频:19
词:理论 上	词频:19
词:生物学 上	词频:19
词:给 他们	词频:18
词:冲动 的	词频:18
词:在 很大	词频:18
词:的 收入	词频:18
词:没有 任何	词频:18
词:发现 了	词频:18
词:的 本质	词频:18
词:成为 一个	词频:18
词:会 变得	词频:18
词:实际 的	词频:18
词:为 自己	词频:18
词:的 现象	词频:18
词:历史 上	词频:18
词:他 知道	词频:18
词:整个 世界	词频:18
词:的 伟大	词频:18
词:暂时 的	词频:18
词:是 值得	词频:18
词:并 不能	词频:18
词:他 便	词频:18
词:理智 的	词频:18
词:完全 不同	词频:18
词:一种 新	词频:18
词:理论 的	词频:18
词:这 两种	词频:18
词:要 有	词频:18
词:他 和	词频:18
词:的 职责	词频:18
词:中 得到	词频:18
词:非理性 的	词频:18
词:竞争 的	词频:18
词:只能 是	词频:18
词:我们 应该	词频:18
词:人们 所	词频:18
词:的 表现	词频:18
词:能力 的	词频:18
词:即使 是	词频:18
词:的 另	词频:18
词:阶级 的	词频:18
词:广泛 的	词频:18
词:将 是	词频:18
词:对 它	词频:18
词:它 使	词频:18
词:的 责任	词频:18
词:孩子 会	词频:18
词:是 与	词频:18
词:的 讨论	词频:18
词:丈夫 的	词频:18
词:还有 一种	词频:18
词:又 是	词频:18
词:的 技能	词频:18
词:的 成份	词频:18
词:所 需	词频:18
词:大家 都	词频:18
词:这种 制度	词频:18
词:生育 子女	词频:18
词:中 所	词频:17
词:又 有	词频:17
词:由于 对	词频:17
词:的 错误	词频:17
词:获得 幸福	词频:17
词:对 生活	词频:17
词:的 过分	词频:17
词:他 并	词频:17
词:对 这些	词频:17
词:可以 把	词频:17
词:适当 的	词频:17
词:如果 把	词频:17
词:的 许多	词频:17
词:生活 于	词频:17
词:的 一般	词频:17
词:不 公正	词频:17
词:我 自己	词频:17
词:自己 也	词频:17
词:这种 情绪	词频:17
词:来自 于	词频:17
词:幸运 的	词频:17
词:不 允许	词频:17
词:这样 一个	词频:17
词:在 整个	词频:17
词:对 一个	词频:17
词:而 我们	词频:17
词:双方 的	词频:17
词:发生 了	词频:17
词:的 迷信	词频:17
词:不 对	词频:17
词:我们 已经	词频:17
词:不断 地	词频:17
词:要 使	词频:17
词:的 神经	词频:17
词:我 希望	词频:17
词:那些 在	词频:17
词:不可避免 的	词频:17
词:根本 不	词频:17
词:心理 的	词频:17
词:的 现代	词频:17
词:一种 是	词频:17
词:中 去	词频:17
词:在 以后	词频:17
词:在 你	词频:17
词:方法 是	词频:17
词:我们 自己	词频:17
词:有 机会	词频:17
词:会 对	词频:17
词:他们 不	词频:17
词:但 对	词频:17
词:对 别人	词频:17
词:一个 男子	词频:17
词:对 你	词频:17
词:的 想法	词频:17
词:的 食物	词频:17
词:使 你	词频:17
词:之外 的	词频:17
词:的 那	词频:17
词:的 智力	词频:17
词:的 学生	词频:17
词:在 中国	词频:17
词:一 开始	词频:17
词:都 将	词频:17
词:的 信条	词频:17
词:婴儿 的	词频:17
词:浪漫 的	词频:17
词:这 一方面	词频:16
词:作 了	词频:16
词:你 将	词频:16
词:那些 有	词频:16
词:人们 都	词频:16
词:的 注意力	词频:16
词:是 人类	词频:16
词:消除 了	词频:16
词:的 灵魂	词频:16
词:哪怕 是	词频:16
词:我 说	词频:16
词:但是 他	词频:16
词:的 区别	词频:16
词:只是 在	词频:16
词:的 灾难	词频:16
词:任何 一种	词频:16
词:我 个人	词频:16
词:找 不到	词频:16
词:会 认为	词频:16
词:的 条件	词频:16
词:的 教义	词频:16
词:之 处	词频:16
词:把 这	词频:16
词:被 看作	词频:16
词:如果 我	词频:16
词:建立 在	词频:16
词:的 话题	词频:16
词:对方 的	词频:16
词:为 人	词频:16
词:旧 的	词频:16
词:了 我们	词频:16
词:当 我们	词频:16
词:与 人	词频:16
词:到 自己	词频:16
词:不 在	词频:16
词:把 他们	词频:16
词:另 一些	词频:16
词:的 同时	词频:16
词:公认 的	词频:16
词:更 容易	词频:16
词:受过 教育	词频:16
词:的 娱乐	词频:16
词:中国 的	词频:16
词:与 我们	词频:16
词:给 了	词频:16
词:我们 也	词频:16
词:范围 内	词频:16
词:的 可能	词频:16
词:在 某种程度	词频:16
词:下 的	词频:16
词:做到 这	词频:16
词:我们 认为	词频:16
词:达到 的	词频:16
词:的 可能性	词频:16
词:很 有	词频:16
词:根本 的	词频:16
词:结婚 的	词频:16
词:倾向 于	词频:16
词:如果 这种	词频:16
词:极端 的	词频:16
词:都 认为	词频:16
词:的 更	词频:16
词:在 另	词频:16
词:减少 了	词频:16
词:性 方面	词频:16
词:国家 中	词频:16
词:就 在	词频:16
词:没有 理由	词频:16
词:中 最	词频:16
词:你 自己	词频:16
词:的 性格	词频:16
词:那 他	词频:16
词:在 所有	词频:16
词:只要 有	词频:16
词:当 他们	词频:16
词:都 没有	词频:16
词:他们 所	词频:16
词:西方 文明	词频:16
词:纯粹 的	词频:16
词:政治 上	词频:16
词:有 关系	词频:16
词:婚姻 是	词频:16
词:不良 的	词频:16
词:避孕 方法	词频:16
词:将 会	词频:15
词:的 烦恼	词频:15
词:以及 对	词频:15
词:对 人类	词频:15
词:但是 他们	词频:15
词:曾 有	词频:15
词:我们 这个	词频:15
词:了 对	词频:15
词:我们 有	词频:15
词:我 对	词频:15
词:成功 地	词频:15
词:人 一样	词频:15
词:就 把	词频:15
词:只 在	词频:15
词:但是 这	词频:15
词:这些 东西	词频:15
词:的 过程	词频:15
词:受到 的	词频:15
词:发生 在	词频:15
词:认为 的	词频:15
词:为 中心	词频:15
词:而 他	词频:15
词:他 去	词频:15
词:权力 欲	词频:15
词:向 他们	词频:15
词:观点 的	词频:15
词:的 理性	词频:15
词:是 出于	词频:15
词:的 方面	词频:15
词:会 觉得	词频:15
词:忘记 了	词频:15
词:我 发现	词频:15
词:我们 时代	词频:15
词:的 根据	词频:15
词:这一 事实	词频:15
词:这 不是	词频:15
词:都 可以	词频:15
词:以 一种	词频:15
词:们 所	词频:15
词:无意识 的	词频:15
词:什么 比	词频:15
词:更 高	词频:15
词:的 语言	词频:15
词:不是 因为	词频:15
词:优秀 的	词频:15
词:的 心灵	词频:15
词:的 书	词频:15
词:的 刺激	词频:15
词:基本 的	词频:15
词:就 得	词频:15
词:作为 一个	词频:15
词:人才 能	词频:15
词:的 儿女	词频:15
词:几乎 所有	词频:15
词:的 命运	词频:15
词:而 产生	词频:15
词:在 其他	词频:15
词:是 以	词频:15
词:会 被	词频:15
词:时间 里	词频:15
词:的 做法	词频:15
词:比 以前	词频:15
词:人 和	词频:15
词:某种程度 上	词频:15
词:但是 这种	词频:15
词:都 很	词频:15
词:学校 的	词频:15
词:办法 是	词频:15
词:问题 上	词频:15
词:的 勇敢	词频:15
词:婚姻 中	词频:15
词:这一 问题	词频:15
词:年轻人 的	词频:15
词:孩子 都	词频:15
词:部分 是	词频:15
词:稳定 的	词频:15
词:的 种种	词频:15
词:类似 的	词频:15
词:上 都	词频:15
词:人 不	词频:15
词:的 注意	词频:15
词:对于 我们	词频:15
词:的 同情	词频:15
词:的 人才	词频:15
词:得 很	词频:15
词:的 原则	词频:15
词:食物 的	词频:15
词:并 无	词频:15
词:不 被	词频:15
词:在 西方	词频:15
词:仍然 是	词频:15
词:他 能	词频:15
词:也 将	词频:15
词:的 不同	词频:15
词:女子 的	词频:15
词:相关 的	词频:15
词:而 非	词频:15
词:的 品质	词频:15
词:情形 之下	词频:15
词:作为 一种	词频:15
词:未来 的	词频:15
词:事实 的	词频:15
词:的 天性	词频:15
词:的 好处	词频:15
词:精神 上	词频:15
词:已婚 妇女	词频:15
词:着 的	词频:15
词:习俗 的	词频:15
词:父系 的	词频:15
词:在 人	词频:14
词:他们 没有	词频:14
词:有 足够	词频:14
词:这种 不幸	词频:14
词:对 世界	词频:14
词:导致 了	词频:14
词:这么 说	词频:14
词:而 去	词频:14
词:而 那些	词频:14
词:往往 会	词频:14
词:意识 的	词频:14
词:有意识 的	词频:14
词:的 思维	词频:14
词:的 所有	词频:14
词:阶层 的	词频:14
词:典型 的	词频:14
词:自我 为	词频:14
词:类型 的	词频:14
词:往往 是	词频:14
词:幸福 是	词频:14
词:是 一样	词频:14
词:不 否认	词频:14
词:地 把	词频:14
词:的 作者	词频:14
词:也 在	词频:14
词:没有 必要	词频:14
