词:的	词频:22848
词:成人	词频:57
词:一方面	词频:56
词:朋友	词频:56
词:缺乏	词频:56
词:寻求	词频:56
词:上帝	词频:56
词:性关系	词频:56
词:显然	词频:56
词:儿子	词频:56
词:支配	词频:56
词:．	词频:56
词:你们	词频:56
词:现象	词频:55
词:肯定	词频:55
词:条件	词频:55
词:实在	词频:55
词:这方面	词频:55
词:有着	词频:54
词:解释	词频:54
词:今天	词频:54
词:难	词频:54
词:找到	词频:54
词:阶级	词频:54
词:一下	词频:53
词:巨大	词频:53
词:另一方面	词频:53
词:公正	词频:53
词:渐渐	词频:53
词:学生	词频:53
词:先生	词频:53
词:且	词频:53
词:极端	词频:53
词:至少	词频:52
词:最终	词频:52
词:之前	词频:52
词:后来	词频:52
词:事业	词频:52
词:摆脱	词频:52
词:难以	词频:52
词:特征	词频:52
词:迷信	词频:52
词:不可	词频:52
词:特殊	词频:52
词:将来	词频:52
词:既	词频:52
词:不必	词频:51
词:思考	词频:51
词:有害	词频:51
词:建立	词频:51
词:可怕	词频:51
词:双方	词频:51
词:吃	词频:51
词:神经	词频:51
词:否则	词频:51
词:目前	词频:51
词:非	词频:51
词:倾向	词频:51
词:使用	词频:51
词:紧张	词频:50
词:理智	词频:50
词:极大	词频:50
词:无意识	词频:50
词:伦理	词频:50
词:不断	词频:50
词:聪明	词频:50
词:看见	词频:50
词:试图	词频:50
词:一起	词频:50
词:基础	词频:50
词:并非	词频:49
词:放弃	词频:49
词:实际	词频:49
词:真的	词频:49
词:变化	词频:49
词:正是	词频:49
词:所谓	词频:49
词:谁	词频:49
词:高	词频:49
词:理解	词频:49
词:注意	词频:49
词:一天	词频:49
词:害怕	词频:49
词:一次	词频:49
词:工业	词频:49
词:大量	词频:49
词:凡是	词频:49
词:形成	词频:49
词:权利	词频:49
词:真理	词频:49
词:实行	词频:49
词:机器	词频:48
词:严重	词频:48
词:禁止	词频:48
词:吧	词频:48
词:来自	词频:48
词:进步	词频:48
词:愉快	词频:48
词:决定	词频:48
词:①	词频:48
词:焦虑	词频:48
词:大部分	词频:48
词:状况	词频:48
词:民族	词频:48
词:做到	词频:48
词:民主	词频:48
词:美德	词频:48
词:建设	词频:48
词:德国	词频:48
词:这时	词频:47
词:最大	词频:47
词:提出	词频:47
词:便是	词频:47
词:随着	词频:47
词:却是	词频:47
词:准则	词频:47
词:阶层	词频:47
词:有用	词频:47
词:采取	词频:47
词:对此	词频:47
词:运动	词频:47
词:期望	词频:47
词:重要性	词频:47
词:道德家	词频:47
词:小孩	词频:47
词:正当	词频:47
词:几个	词频:46
词:过度	词频:46
词:种种	词频:46
词:想到	词频:46
词:尊重	词频:46
词:正常	词频:46
词:行动	词频:46
词:极为	词频:46
词:少	词频:46
词:保护	词频:46
词:那个	词频:46
词:合作	词频:46
词:明白	词频:46
词:严厉	词频:46
词:大人	词频:46
词:防止	词频:45
词:解决	词频:45
词:受过	词频:45
词:无疑	词频:45
词:例子	词频:45
词:联系	词频:45
词:面对	词频:45
词:坏	词频:45
词:怎样	词频:45
词:为什么	词频:45
词:小	词频:45
词:好处	词频:45
词:游戏	词频:44
词:显得	词频:44
词:从来	词频:44
词:愚蠢	词频:44
词:牺牲	词频:44
词:书	词频:44
词:该	词频:44
词:意志	词频:44
词:担心	词频:44
词:学习	词频:44
词:疾病	词频:43
词:感受	词频:43
词:经历	词频:43
词:永远	词频:43
词:正在	词频:43
词:不到	词频:43
词:奇怪	词频:43
词:物质	词频:43
词:那里	词频:43
词:高尚	词频:43
词:越来越	词频:43
词:大家	词频:43
词:教会	词频:43
词:优点	词频:43
词:学说	词频:43
词:压抑	词频:42
词:不好	词频:42
词:范围	词频:42
词:普通	词频:42
词:法国	词频:42
词:某	词频:42
词:说明	词频:42
词:然后	词频:42
词:中世纪	词频:42
词:最为	词频:42
词:绝对	词频:42
词:勇敢	词频:42
词:早期	词频:42
词:少数	词频:42
词:处于	词频:42
词:继续	词频:42
词:身体	词频:42
词:类似	词频:42
词:灵魂	词频:41
词:后者	词频:41
词:关注	词频:41
词:状态	词频:41
词:很难	词频:41
词:某个	词频:41
词:逐渐	词频:41
词:选择	词频:41
词:消失	词频:41
词:阶段	词频:41
词:男女	词频:41
词:训练	词频:41
词:清楚	词频:41
词:有益	词频:41
词:重大	词频:41
词:品质	词频:41
词:破坏	词频:41
词:木	词频:41
词:根源	词频:40
词:收入	词频:40
词:两者	词频:40
词:来看	词频:40
词:依然	词频:40
词:这里	词频:40
词:依靠	词频:40
词:日本	词频:40
词:最初	词频:40
词:欢乐	词频:39
词:懂得	词频:39
词:过于	词频:39
词:负罪感	词频:39
词:既然	词频:39
词:头脑	词频:39
词:较	词频:39
词:间	词频:39
词:坚持	词频:39
词:寻找	词频:39
词:生存	词频:39
词:刺激	词频:39
词:金钱	词频:39
词:组织	词频:39
词:从前	词频:39
词:包含	词频:39
词:性道德	词频:39
词:毫无	词频:39
词:肉体	词频:39
词:概念	词频:39
词:闲暇	词频:38
词:娱乐	词频:38
词:自	词频:38
词:指	词频:38
词:另外	词频:38
词:上述	词频:38
词:需	词频:38
词:越	词频:38
词:至于	词频:38
词:在我看来	词频:38
词:那儿	词频:38
词:死	词频:38
词:经过	词频:38
词:他会	词频:38
词:直到	词频:38
词:多么	词频:38
词:野蛮	词频:38
词:观察	词频:38
词:自制	词频:38
词:或是	词频:37
词:面前	词频:37
词:关心	词频:37
词:而已	词频:37
词:阻止	词频:37
词:限度	词频:37
词:那时	词频:37
词:统治	词频:37
词:象	词频:37
词:冲突	词频:37
词:这件	词频:37
词:极其	词频:37
词:经验	词频:37
词:美好	词频:36
词:丧失	词频:36
词:本质	词频:36
词:治疗	词频:36
词:富裕	词频:36
词:便会	词频:36
词:灾难	词频:36
词:否认	词频:36
词:结论	词频:36
词:之下	词频:36
词:文化	词频:36
词:取得	词频:36
词:强调	词频:36
词:人会	词频:36
词:领域	词频:36
词:采用	词频:36
词:干涉	词频:36
词:对付	词频:36
词:运用	词频:36
词:更好	词频:36
词:所说	词频:36
词:彼此	词频:36
词:由此	词频:35
词:乃是	词频:35
词:维持	词频:35
词:重视	词频:35
词:式	词频:35
词:中间	词频:35
词:讲	词频:35
词:适用	词频:35
词:源泉	词频:35
词:最高	词频:35
词:作品	词频:35
词:想法	词频:35
词:尊敬	词频:35
词:具备	词频:35
词:公众	词频:35
词:深刻	词频:35
词:欺骗	词频:35
词:技能	词频:35
词:想象	词频:35
词:娼妓	词频:35
词:时刻	词频:34
词:此	词频:34
词:一致	词频:34
词:犯罪	词频:34
词:厌恶	词频:34
词:分析	词频:34
词:想像	词频:34
词:失败	词频:34
词:正如	词频:34
词:以便	词频:34
词:适应	词频:34
词:事件	词频:34
词:未来	词频:34
词:小时	词频:34
词:教	词频:34
词:必然	词频:34
词:胜利	词频:34
词:广泛	词频:34
词:青年人	词频:34
词:相同	词频:34
词:完成	词频:34
词:利用	词频:34
词:性格	词频:34
词:应当	词频:34
词:烦恼	词频:33
词:包括	词频:33
词:彻底	词频:33
词:教义	词频:33
词:建筑	词频:33
词:夫妻	词频:33
词:这类	词频:33
词:足以	词频:33
词:责任	词频:33
词:真实	词频:33
词:拒绝	词频:33
词:义务	词频:33
词:十分	词频:33
词:同情	词频:33
词:良好	词频:33
词:只不过	词频:32
词:相	词频:32
词:靠	词频:32
词:旧	词频:32
词:必需	词频:32
词:适合	词频:32
词:见	词频:32
词:印象	词频:32
词:后果	词频:32
词:反而	词频:32
词:月	词频:32
词:当中	词频:32
词:长大	词频:32
词:意思	词频:32
词:权威	词频:32
词:年轻	词频:32
词:艺术家	词频:32
词:有效	词频:32
词:无知	词频:32
词:玩耍	词频:32
词:古代	词频:32
词:黄金	词频:32
词:道路	词频:31
词:不满	词频:31
词:本书	词频:31
词:集中	词频:31
词:本来	词频:31
词:哪怕	词频:31
词:抛弃	词频:31
词:并未	词频:31
词:创造	词频:31
词:活力	词频:31
词:写	词频:31
词:干	词频:31
词:未	词频:31
词:接触	词频:31
词:妨碍	词频:31
词:正	词频:31
词:心理学	词频:31
词:稳定	词频:31
词:宣传	词频:31
词:保姆	词频:31
词:残忍	词频:31
词:私人	词频:31
词:卖淫	词频:31
词:例外	词频:30
词:时光	词频:30
词:任何人	词频:30
词:喜爱	词频:30
词:代替	词频:30
词:对象	词频:30
词:读者	词频:30
词:宇宙	词频:30
词:钱	词频:30
词:意味着	词频:30
词:对方	词频:30
词:斗争	词频:30
词:非理性	词频:30
词:以上	词频:30
词:没	词频:30
词:决不	词频:30
词:用于	词频:30
词:已婚	词频:30
词:工资	词频:30
词:平等	词频:30
词:保存	词频:30
词:父系	词频:30
词:堕落	词频:29
词:感兴趣	词频:29
词:折磨	词频:29
词:指出	词频:29
词:暂时	词频:29
词:欣赏	词频:29
词:有点	词频:29
词:牧师	词频:29
词:标准	词频:29
词:现代人	词频:29
词:积极	词频:29
词:毫无疑问	词频:29
词:基于	词频:29
词:尽量	词频:29
词:进入	词频:29
词:精力	词频:29
词:如同	词频:29
词:感	词频:29
词:威胁	词频:29
词:而言	词频:29
词:成年人	词频:29
词:发明	词频:29
词:话	词频:29
词:最近	词频:29
词:赞成	词频:29
词:德行	词频:29
词:外部	词频:28
词:及	词频:28
词:不可避免	词频:28
词:区别	词频:28
词:消极	词频:28
词:从而	词频:28
词:克鲁奇	词频:28
词:富人	词频:28
词:安全	词频:28
词:显示	词频:28
词:语言	词频:28
词:商人	词频:28
词:男性	词频:28
词:家长	词频:28
词:走	词频:28
词:第一次	词频:28
词:不想	词频:28
词:公共	词频:28
词:公平	词频:28
词:忌妒心	词频:28
词:经常	词频:28
词:神秘	词频:28
词:不久	词频:28
词:独立	词频:28
词:尽可能	词频:28
词:罗马	词频:28
词:女性	词频:28
词:生物学	词频:28
词:纪律	词频:28
词:玩具	词频:28
词:前者	词频:27
词:一类	词频:27
词:提倡	词频:27
词:激起	词频:27
词:效果	词频:27
词:思维	词频:27
词:适当	词频:27
词:一生	词频:27
词:一条	词频:27
词:下去	词频:27
词:幸运	词频:27
词:忘记	词频:27
词:不如	词频:27
词:残酷	词频:27
词:伴侣	词频:27
词:谈到	词频:27
词:职责	词频:27
词:女儿	词频:27
词:确定	词频:27
词:命运	词频:27
词:成就	词频:27
词:带	词频:27
词:下来	词频:27
词:迫害	词频:27
词:明智	词频:27
词:常见	词频:27
词:极	词频:27
词:直接	词频:27
词:伤害	词频:27
词:心中	词频:27
词:虐待狂	词频:27
词:信条	词频:27
词:成份	词频:27
词:天性	词频:27
词:养成	词频:27
词:纵使	词频:27
词:假定	词频:26
词:听	词频:26
词:岁	词频:26
词:灌输	词频:26
词:确信	词频:26
词:丝毫	词频:26
词:悲剧	词频:26
词:超过	词频:26
词:健全	词频:26
词:障碍	词频:26
词:哪	词频:26
词:从不	词频:26
词:作者	词频:26
词:位置	词频:26
词:想要	词频:26
词:必不可少	词频:26
词:读	词频:26
词:必定	词频:26
词:不仅仅	词频:26
词:以往	词频:26
词:习惯于	词频:26
词:莎士比亚	词频:26
词:破产	词频:26
词:人才	词频:26
词:贫穷	词频:26
词:流行	词频:26
词:爱好	词频:26
词:应有	词频:26
词:当时	词频:26
词:提高	词频:26
词:一半	词频:26
词:数量	词频:26
词:做出	词频:26
词:孔雀	词频:26
词:视为	词频:26
词:各	词频:26
词:很快	词频:26
词:照顾	词频:26
词:俄国	词频:26
词:好奇心	词频:26
词:争论	词频:26
词:'	词频:26
词:出生率	词频:26
词:群体	词频:25
词:有意识	词频:25
词:走向	词频:25
词:无论如何	词频:25
词:找	词频:25
词:家里	词频:25
词:差异	词频:25
词:怎么	词频:25
词:熟悉	词频:25
词:离开	词频:25
词:发现自己	词频:25
词:饥饿	词频:25
词:共同	词频:25
词:体验	词频:25
词:严肃	词频:25
词:企图	词频:25
词:基本	词频:25
词:还要	词频:25
词:花	词频:25
词:文学	词频:25
词:尽	词频:25
词:农业	词频:25
词:差别	词频:25
词:偶然	词频:25
词:可能性	词频:25
词:仇恨	词频:25
词:缺陷	词频:25
词:贞操	词频:25
词:种族	词频:25
词:掌握	词频:25
词:虐待	词频:25
词:饮食	词频:25
词:合理	词频:25
词:大学	词频:25
词:技术	词频:25
词:崇拜	词频:25
词:不至于	词频:25
词:教师	词频:25
词:应用	词频:25
词:诚实	词频:25
词:妒嫉	词频:25
词:遇到	词频:24
词:处	词频:24
词:相互	词频:24
词:奴隶	词频:24
词:类型	词频:24
词:某种程度	词频:24
词:典型	词频:24
词:这位	词频:24
词:帮助	词频:24
词:一切都是	词频:24
词:维多利亚	词频:24
词:复杂	词频:24
词:究竟	词频:24
词:混乱	词频:24
词:生物	词频:24
词:大众	词频:24
词:体力	词频:24
词:进展	词频:24
词:判断	词频:24
词:可是	词频:24
词:毁灭	词频:24
词:挫折	词频:24
词:听到	词频:24
词:不许	词频:24
词:多半	词频:24
词:著作	词频:24
词:解放	词频:24
词:圣人	词频:24
词:方向	词频:24
词:良心	词频:24
词:新教	词频:24
词:道德教育	词频:24
词:撒谎	词频:24
词:禁欲主义	词频:24
词:成分	词频:24
词:抱	词频:24
词:人物	词频:24
词:合适	词频:24
词:建议	词频:24
词:圣保罗	词频:24
词:缘故	词频:24
词:倘若	词频:24
词:玩	词频:24
词:享乐	词频:23
词:设法	词频:23
词:人人	词频:23
词:准备	词频:23
词:之内	词频:23
词:专注	词频:23
词:按照	词频:23
词:首要	词频:23
词:小说	词频:23
词:宁愿	词频:23
词:不愿	词频:23
词:太阳	词频:23
词:机构	词频:23
词:绝望	词频:23
词:困境	词频:23
词:之上	词频:23
词:其实	词频:23
词:话题	词频:23
词:相关	词频:23
词:今日	词频:23
词:医生	词频:23
词:相比	词频:23
词:约束	词频:23
词:城市	词频:23
词:大地	词频:23
词:地区	词频:23
词:处理	词频:23
词:组成	词频:23
词:不敢	词频:23
词:激发	词频:23
词:工人	词频:23
词:不少	词频:23
词:就要	词频:23
词:一番	词频:22
词:看看	词频:22
词:某人	词频:22
词:清醒	词频:22
词:c	词频:22
词:贫困	词频:22
词:各个	词频:22
词:等等	词频:22
词:忘却	词频:22
词:处在	词频:22
词:激励	词频:22
词:何种	词频:22
词:富有	词频:22
词:出生	词频:22
词:建造	词频:22
词:困扰	词频:22
词:原来	词频:22
词:评价	词频:22
词:同意	词频:22
词:麻烦	词频:22
词:个体	词频:22
词:创作	词频:22
词:体现	词频:22
词:恐怖	词频:22
词:从未	词频:22
词:公认	词频:22
词:大大	词频:22
词:专家	词频:22
词:做法	词频:22
词:汽车	词频:22
词:一章	词频:22
词:故事	词频:22
词:角度	词频:22
词:高度	词频:22
词:层次	词频:22
词:谴责	词频:22
词:怀孕	词频:22
词:抚养	词频:22
词:和平	词频:22
词:若	词频:22
词:内容	词频:22
词:人格	词频:22
词:幻想	词频:22
词:这点	词频:22
词:文艺复兴	词频:22
词:宣扬	词频:22
词:严格	词频:22
词:未婚	词频:22
词:当前	词频:22
词:任务	词频:21
词:早年	词频:21
词:政治家	词频:21
词:看待	词频:21
词:优秀	词频:21
词:人性	词频:21
词:活着	词频:21
词:得出	词频:21
词:较为	词频:21
词:探讨	词频:21
词:面临	词频:21
词:其他人	词频:21
词:回答	词频:21
词:称赞	词频:21
词:批评	词频:21
词:构成	词频:21
词:犹太人	词频:21
词:长期	词频:21
词:风俗	词频:21
词:结束	词频:21
词:别	词频:21
词:孔子	词频:21
词:本性	词频:21
词:假使	词频:21
词:农民	词频:21
词:愤怒	词频:21
词:每天	词频:21
词:先	词频:21
词:人民	词频:21
词:虽	词频:21
词:之爱	词频:21
词:规定	词频:21
词:友善	词频:21
词:用处	词频:21
词:重新	词频:21
词:绝大多数	词频:21
词:事务	词频:21
词:热烈	词频:21
词:内心	词频:21
词:说法	词频:21
词:结合	词频:21
词:是从	词频:21
词:反应	词频:21
词:假设	词频:21
词:天主教	词频:21
词:服从	词频:21
词:大概	词频:21
词:涉及	词频:21
词:舒适	词频:21
词:不但	词频:21
词:浪漫	词频:21
词:德国人	词频:21
词:每每	词频:21
词:现实	词频:20
词:悠闲	词频:20
词:注意力	词频:20
词:依赖	词频:20
词:抑制	词频:20
词:表面	词频:20
词:英雄	词频:20
词:取代	词频:20
词:中心	词频:20
词:进一步	词频:20
词:征服	词频:20
词:剥夺	词频:20
词:更为重要	词频:20
词:空虚	词频:20
词:财富	词频:20
词:付出	词频:20
词:恐惧感	词频:20
词:享有	词频:20
词:实践	词频:20
词:美丽	词频:20
词:亲密	词频:20
词:有趣	词频:20
词:为此	词频:20
词:单调	词频:20
词:缺少	词频:20
词:得不到	词频:20
词:明确	词频:20
词:糟糕	词频:20
词:考察	词频:20
词:嫉妒	词频:20
词:家	词频:20
词:穷人	词频:20
词:对性	词频:20
词:完美	词频:20
词:东方	词频:20
词:自从	词频:20
词:鼓励	词频:20
词:善良	词频:20
词:以来	词频:20
词:实用	词频:20
词:支持	词频:20
词:差不多	词频:20
